Spot / Vendor,Type
Bali Sunset Adventure - Sukawati,['Aktivitas Luar Ruangan (43)']
I Bali Tour - Tur Harian - Sukawati,"['Aktivitas Luar Ruangan (43)', 'Tempat Belanja (29)', 'Tur dengan Perahu & Olahraga Air (17)']"
Amazing Bali - Sukawati,"['Aktivitas Luar Ruangan (43)', 'Tur dengan Perahu & Olahraga Air (17)']"
Three Sons Bali - Day Tours - Sukawati,"['Aktivitas Luar Ruangan (43)', 'Tur dengan Perahu & Olahraga Air (17)']"
Riana Bali Tour - Sukawati,"['Aktivitas Luar Ruangan (43)', 'Tur dengan Perahu & Olahraga Air (17)']"
Guwang Bali Hidden Canyon Tour - Sukawati,['Aktivitas Luar Ruangan (43)']
Bali and Me - Sukawati,['Aktivitas Luar Ruangan (43)']
Bali Tropical Adventure - Sukawati,['Aktivitas Luar Ruangan (43)']
Pantai Purnama - Sukawati,"['Aktivitas Luar Ruangan (43)', 'Wisata Alam & Taman (7)']"
Perhiasan dan Artifek Prapen - Sukawati,['Tempat Belanja (29)']
Bandem Silver - Sukawati,"['Tempat Belanja (29)', 'Museum (11)', 'Bagus Saat Hujan (29)', 'Masuk Gratis (13)', 'Tempat yang Belum Populer (6)']"
Dewa Putu Toris - Sukawati,['Tempat Belanja (29)']
Yana Art Gallery - Sukawati,"['Tempat Belanja (29)', 'Museum (11)']"
Kopi Negari - Sukawati,['Tempat Belanja (29)']
Blueberry Guitars - Sukawati,['Tempat Belanja (29)']
Yanyan Gold & Silver Smith - Sukawati,['Tempat Belanja (29)']
Pasar Seni Guwang - Sukawati,['Tempat Belanja (29)']
Dewi Sitha Jewelry - Sukawati,"['Tempat Belanja (29)', 'Kursus & Sanggar (11)']"
Bali Gong - Sukawati,['Tempat Belanja (29)']
SUNSRI House of Jewelry - Sukawati,"['Tempat Belanja (29)', 'Kursus & Sanggar (11)', 'Museum (11)']"
Gala Silver - Sukawati,['Tempat Belanja (29)']
Cening Bagus - Sukawati,['Tempat Belanja (29)']
Werochana Wood Carving - Sukawati,"['Tempat Belanja (29)', 'Museum (11)']"
Krisna Yuna Gallery - Sukawati,"['Tempat Belanja (29)', 'Museum (11)']"
Sunaka Jewelry - Sukawati,['Tempat Belanja (29)']
Bulan Ayu Lukisan - Sukawati,"['Tempat Belanja (29)', 'Museum (11)']"
Mini Smith House - Sukawati,['Tempat Belanja (29)']
Kain Baliya - Sukawati,['Tempat Belanja (29)']
Galuh Bali - Sukawati,['Tempat Belanja (29)']
Studio of Artist Painting - Sukawati,"['Tempat Belanja (29)', 'Museum (11)']"
Ayudya Bali Silver & Kebaya - Sukawati,['Tempat Belanja (29)']
Griya Silver - Sukawati,['Tempat Belanja (29)']
Dianatara Silver - Sukawati,['Tempat Belanja (29)']
Hanoman Bali Painting - Sukawati,"['Tempat Belanja (29)', 'Museum (11)']"
Museum Naga Sanga Amurwabhumi - Sukawati,"['Tempat Belanja (29)', 'Museum (11)']"
Keris Bali Art Shop - Sukawati,['Tempat Belanja (29)']
Kubu Taman Sari - Sukawati,['Tempat Belanja (29)']
Bali First Rent Car - Sukawati,['Tur dengan Perahu & Olahraga Air (17)']
Hallo Bali Tour - Sukawati,['Tur dengan Perahu & Olahraga Air (17)']
Wahana Bali Adventure singapadu - Sukawati,['Tur dengan Perahu & Olahraga Air (17)']
Bali Trip & Adventure - Sukawati,['Tur dengan Perahu & Olahraga Air (17)']
Ubud Eco Tour - Sukawati,['Tur dengan Perahu & Olahraga Air (17)']
Pratiwi Bali Tour - Day Tours - Sukawati,['Tur dengan Perahu & Olahraga Air (17)']
Pura Puseh Batuan - Sukawati,"['Pemandangan & Tengara (12)', 'Cocok untuk Pasangan (40)', 'Cocok untuk Anak-Anak (35)', 'Harga terjangkau (27)', 'Lokasi bulan madu (18)', 'Masuk Gratis (13)']"
Desa Celuk Bali - Sukawati,"['Pemandangan & Tengara (12)', 'Bagus Saat Hujan (29)', 'Masuk Gratis (13)']"
Pura Puseh - Sukawati,"['Pemandangan & Tengara (12)', 'Cocok untuk Kelompok Besar (31)']"
Desa Bali Budaya - Sukawati,['Pemandangan & Tengara (12)']
Patung Bayi Raksasa - Sukawati,"['Pemandangan & Tengara (12)', 'Masuk Gratis (13)']"
Kampung Kopi Kemenuh - Sukawati,['Pemandangan & Tengara (12)']
Pura Erjeruk - Sukawati,['Pemandangan & Tengara (12)']
Alam Sari Agrotourism - Sukawati,['Pemandangan & Tengara (12)']
Kebune Bali Agrotourism - Sukawati,['Pemandangan & Tengara (12)']
Kopi Kemenuh - Sukawati,['Pemandangan & Tengara (12)']
Taman Ayu Agro - Sukawati,['Pemandangan & Tengara (12)']
Batuan Temple - Sukawati,['Pemandangan & Tengara (12)']
Ganeca Silver Class - Sukawati,['Kursus & Sanggar (11)']
Tumang Cooking Class - Sukawati,"['Kursus & Sanggar (11)', 'Makanan & Minuman (4)']"
Goak Batik Bali - Tur Membatik - Sukawati,['Kursus & Sanggar (11)']
Jewelry Making Class at SUNSRI House of Jewelry - Sukawati,"['Kursus & Sanggar (11)', 'Hiburan & Permainan (4)']"
Home Cooking Traditional Balinese Bumbu - Sukawati,"['Kursus & Sanggar (11)', 'Makanan & Minuman (4)']"
Ceraki Bali Cooking Class - Sukawati,"['Kursus & Sanggar (11)', 'Makanan & Minuman (4)']"
Salsa Retreat Bali - Sukawati,['Kursus & Sanggar (11)']
Griya Krisna Cooking Class - Sukawati,"['Kursus & Sanggar (11)', 'Makanan & Minuman (4)']"
Clei Pottery - Day Class - Sukawati,"['Kursus & Sanggar (11)', 'Hiburan & Permainan (4)']"
Galeria Wayang dan Topeng Setia Darma - Sukawati,"['Museum (11)', 'Cocok untuk Pasangan (40)', 'Cocok untuk Anak-Anak (35)', 'Cocok untuk Kelompok Besar (31)', 'Bagus Saat Hujan (29)', 'Harga terjangkau (27)', 'Masuk Gratis (13)', 'Tempat yang Belum Populer (6)']"
Museum Seni Batuan - Sukawati,['Museum (11)']
Beji Guwang Hidden Canyon - Sukawati,"['Wisata Alam & Taman (7)', 'Cocok untuk Pasangan (40)', 'Harga terjangkau (27)', 'Cocok untuk Penggemar Aktivitas Ekstrem (12)', 'Tempat yang Belum Populer (6)', 'Berjiwa petualang (1)']"
Kemenuh Orchid Garden - Sukawati,['Wisata Alam & Taman (7)']
Hidden Canyon Mini Zoo - Sukawati,"['Wisata Alam & Taman (7)', 'Kebun Binatang & Akuarium (3)', 'Cocok untuk Anak-Anak (35)', 'Harga terjangkau (27)']"
Wayan Suari Massage - Sukawati,['Spa & Kebugaran (6)']
Tri Hita Spa - Sukawati,['Spa & Kebugaran (6)']
The Sanctoo Spa & Wellness - Sukawati,['Spa & Kebugaran (6)']
Widy Salon and Spa Ubud - Sukawati,['Spa & Kebugaran (6)']
Sanctoo Villa - Sukawati,['Spa & Kebugaran (6)']
Cendana Sari Salon and Spa - Sukawati,['Spa & Kebugaran (6)']
Bali Cabs - Sukawati,['Transportasi (6)']
Bali Biara Tour - Sukawati,['Transportasi (6)']
ubudbalitourandtravel - Sukawati,['Transportasi (6)']
Jungleji Paintball - Sukawati,['Hiburan & Permainan (4)']
Dusty's Escape Room - Sukawati,['Hiburan & Permainan (4)']
Pertunjukan Tari Barong & Kris - Sukawati,['Konser & Pertunjukan (2)']
Panggung Saha Dewa - Sukawati,['Konser & Pertunjukan (2)']
Penyewaan perahu Boat Rizio - Kedonganan,"['Tur (4)', 'Aktivitas Luar Ruangan (2)', 'Tur dengan Perahu & Olahraga Air (1)']"
Bali Nature Tour - Kedonganan,['Tur (4)']
Tunas Jaya Mandiri Tour & Transport - Kedonganan,['Tur (4)']
Bali Transport Tour - Kedonganan,"['Tur (4)', 'Aktivitas Luar Ruangan (2)']"
The Lotus Spa - Kedonganan,['Spa & Kebugaran (1)']
Delta Spa & Lounge BSD 2 - Serpong,['Spa & Kebugaran (7)']
Delta Spa & Lounge BSD 1 - Serpong,['Spa & Kebugaran (7)']
Cendana Sehat - Alam Sutera - Serpong,['Spa & Kebugaran (7)']
VIDA Muay Thai - Serpong,['Spa & Kebugaran (7)']
Nakamura The Healing Touch - Serpong - Serpong,['Spa & Kebugaran (7)']
Acqua Spa & Wellness - Serpong,['Spa & Kebugaran (7)']
Nemo SPA Bidex - Serpong,['Spa & Kebugaran (7)']
Paradise Dreamland - Serpong,"['Hiburan & Permainan (7)', 'Wisata Alam & Taman (3)', 'Taman Air & Taman Hiburan (2)', 'Cocok untuk Anak-Anak (6)']"
Lockdown Indonesia - Serpong,['Hiburan & Permainan (7)']
Peak To Peak Indoor Climbing - Serpong,['Hiburan & Permainan (7)']
Virtualab - VR & Cafe - Serpong,['Hiburan & Permainan (7)']
Little Jungle Playground - Serpong,"['Hiburan & Permainan (7)', 'Wisata Alam & Taman (3)']"
Fun & Fit Trampoline Park - Serpong,['Hiburan & Permainan (7)']
Magical Garden - Serpong,['Hiburan & Permainan (7)']
IKEA Alam Sutera - Serpong,['Tempat Belanja (5)']
Mall @ Alam Sutera - Serpong,"['Tempat Belanja (5)', 'Cocok untuk Anak-Anak (6)', 'Masuk Gratis (4)', 'Bagus Saat Hujan (4)']"
Living World - Serpong,"['Tempat Belanja (5)', 'Cocok untuk Anak-Anak (6)', 'Harga terjangkau (4)', 'Masuk Gratis (4)', 'Bagus Saat Hujan (4)']"
The Flavor Bliss - Serpong,"['Tempat Belanja (5)', 'Cocok untuk Anak-Anak (6)', 'Harga terjangkau (4)', 'Masuk Gratis (4)', 'Cocok untuk Pasangan (2)', 'Cocok untuk Kelompok Besar (2)']"
Winara Boutique - Serpong,['Tempat Belanja (5)']
Arumdalu Farm - Serpong,['Pemandangan & Tengara (4)']
Pura Parahyangan Jagat Guru - Serpong,['Pemandangan & Tengara (4)']
Masjid Nurul Falah - Serpong,['Pemandangan & Tengara (4)']
Masjid Babussalam - Serpong,['Pemandangan & Tengara (4)']
Taman Kota 2 BSD - Serpong,['Wisata Alam & Taman (3)']
Zuri Lounge - Serpong,['Hiburan malam (2)']
The Barhouse Project - Serpong,['Hiburan malam (2)']
Wisata Air Ocean Park Water Adventure - Serpong,"['Taman Air & Taman Hiburan (2)', 'Cocok untuk Anak-Anak (6)', 'Harga terjangkau (4)', 'Cocok untuk Kelompok Besar (2)']"
Joyful Cooking Class - Serpong,"['Makanan & Minuman (1)', 'Kursus & Sanggar (1)']"
Bubble Addict - Pulau Weh,"['Aktivitas Luar Ruangan (14)', 'Tur (13)', 'Tur dengan Perahu & Olahraga Air (12)']"
Menyelam - Monster Divers - Pulau Weh,"['Aktivitas Luar Ruangan (14)', 'Tur (13)', 'Tur dengan Perahu & Olahraga Air (12)']"
Pusat Menyelam - Iboih Dive - Pulau Weh,"['Aktivitas Luar Ruangan (14)', 'Tur (13)', 'Tur dengan Perahu & Olahraga Air (12)']"
Pantai Iboih - Pulau Weh,"['Aktivitas Luar Ruangan (14)', 'Wisata Alam & Taman (4)', 'Harga terjangkau (7)', 'Cocok untuk Kelompok Besar (7)', 'Cocok untuk Pasangan (6)', 'Cocok untuk Penggemar Aktivitas Ekstrem (5)', 'Cocok untuk Anak-Anak (4)', 'Lokasi bulan madu (4)', 'Masuk Gratis (4)']"
Freedive Weh - Pulau Weh,"['Aktivitas Luar Ruangan (14)', 'Tur (13)', 'Tur dengan Perahu & Olahraga Air (12)']"
Tur Menyelam - Scuba Weh - Pulau Weh,"['Aktivitas Luar Ruangan (14)', 'Tur (13)', 'Tur dengan Perahu & Olahraga Air (12)']"
Rubiah Tirta Divers - Pulau Weh,"['Aktivitas Luar Ruangan (14)', 'Tur (13)', 'Tur dengan Perahu & Olahraga Air (12)']"
Dive Weh - Pulau Weh,"['Aktivitas Luar Ruangan (14)', 'Tur (13)', 'Tur dengan Perahu & Olahraga Air (12)']"
Steffen Sea Sports - Pulau Weh,"['Aktivitas Luar Ruangan (14)', 'Tur (13)', 'Tur dengan Perahu & Olahraga Air (12)']"
Blue Water Dolphin Tours Pulau Weh - Pulau Weh,"['Aktivitas Luar Ruangan (14)', 'Tur (13)', 'Tur dengan Perahu & Olahraga Air (12)']"
Bie Tour and Travel - Day Tours - Pulau Weh,"['Aktivitas Luar Ruangan (14)', 'Tur (13)', 'Tur dengan Perahu & Olahraga Air (12)', 'Makanan & Minuman (1)']"
Rental Mobil Aceh / CV. Sakinah Rent Car - Pulau Weh,"['Aktivitas Luar Ruangan (14)', 'Tur (13)', 'Transportasi (3)']"
Exnevia Tour and Travel - Pulau Weh,"['Aktivitas Luar Ruangan (14)', 'Tur (13)', 'Tur dengan Perahu & Olahraga Air (12)', 'Transportasi (3)']"
Barqun Tour Asia - Pulau Weh,"['Aktivitas Luar Ruangan (14)', 'Tur (13)', 'Tur dengan Perahu & Olahraga Air (12)', 'Transportasi (3)']"
Pulau Rubiah - Pulau Weh,"['Wisata Alam & Taman (4)', 'Harga terjangkau (7)', 'Cocok untuk Kelompok Besar (7)', 'Cocok untuk Penggemar Aktivitas Ekstrem (5)', 'Cocok untuk Anak-Anak (4)', 'Masuk Gratis (4)']"
Gua Sarang - Pulau Weh,"['Wisata Alam & Taman (4)', 'Cocok untuk Kelompok Besar (7)', 'Cocok untuk Pasangan (6)', 'Berjiwa petualang (3)']"
Jaboi Geothermal Spot - Pulau Weh,['Wisata Alam & Taman (4)']
Tugu 0 km Indonesia - Pulau Weh,"['Pemandangan & Tengara (3)', 'Harga terjangkau (7)', 'Cocok untuk Kelompok Besar (7)', 'Cocok untuk Anak-Anak (4)', 'Masuk Gratis (4)']"
Bunker Japan - Pulau Weh,['Pemandangan & Tengara (3)']
"Tugu ""I Love Sabang"" - Pulau Weh",['Pemandangan & Tengara (3)']
Flying Elephant Yoga - Pulau Weh,['Spa & Kebugaran (1)']
Surf in Mentawais - Kepulauan Mentawai,"['Aktivitas Luar Ruangan (5)', 'Tur (4)', 'Tur dengan Perahu & Olahraga Air (3)']"
Mentawai Tribe Journey with Wetravelinc - Kepulauan Mentawai,"['Aktivitas Luar Ruangan (5)', 'Tur (4)']"
Pulau Karang - Kepulauan Mentawai,"['Aktivitas Luar Ruangan (5)', 'Wisata Alam & Taman (3)']"
Discover Mentawais - Kepulauan Mentawai,"['Aktivitas Luar Ruangan (5)', 'Tur (4)', 'Tur dengan Perahu & Olahraga Air (3)']"
Mentawai Surf Charters - Kepulauan Mentawai,"['Aktivitas Luar Ruangan (5)', 'Tur (4)', 'Tur dengan Perahu & Olahraga Air (3)', 'Transportasi (1)']"
Taman Nasional Siberut - Kepulauan Mentawai,['Wisata Alam & Taman (3)']
Air Terjun Kulu Kubuk - Kepulauan Mentawai,['Wisata Alam & Taman (3)']
Shoot - Pool Lounge & Sport Bar - Kepulauan Mentawai,['Hiburan & Permainan (1)']
Pantai Bandengan - Jepara,"['Aktivitas Luar Ruangan (10)', 'Aktivitas Luar Ruangan (10)', 'Wisata Alam & Taman (8)', 'Wisata Alam & Taman (8)', 'Cocok untuk Anak-Anak (5)', 'Cocok untuk Anak-Anak (5)', 'Harga terjangkau (2)', 'Cocok untuk Kelompok Besar (2)']"
Pantai Kartini - Jepara,"['Aktivitas Luar Ruangan (10)', 'Wisata Alam & Taman (8)', 'Cocok untuk Anak-Anak (5)', 'Harga terjangkau (2)', 'Cocok untuk Kelompok Besar (2)']"
Pantai Ombak Mati - Jepara,"['Aktivitas Luar Ruangan (10)', 'Wisata Alam & Taman (8)']"
Pulau Panjang Jepara - Jepara,['Aktivitas Luar Ruangan (10)']
Pantai Empu Rancak - Jepara,"['Aktivitas Luar Ruangan (10)', 'Wisata Alam & Taman (8)']"
Pantai Teluk Awur - Jepara,['Aktivitas Luar Ruangan (10)']
Kompak Tour - Jepara,"['Aktivitas Luar Ruangan (10)', 'Tur (5)', 'Tur dengan Perahu & Olahraga Air (3)']"
Nautika Karimunjawa - Jepara,"['Aktivitas Luar Ruangan (10)', 'Tur (5)', 'Tur dengan Perahu & Olahraga Air (3)']"
Jetski Safari Jepara - Jepara,"['Aktivitas Luar Ruangan (10)', 'Tur (5)', 'Tur dengan Perahu & Olahraga Air (3)']"
Hutan Bakau Karimunjawa - Jepara,['Wisata Alam & Taman (8)']
PTPN IX Sentral Park - Jepara,"['Wisata Alam & Taman (8)', 'Hiburan & Permainan (2)']"
Kandang Rusa Pemda Jepara - Jepara,['Wisata Alam & Taman (8)']
Taksi Jepara - Tur Harian - Jepara,"['Tur (5)', 'Transportasi (5)']"
Alifa Tulkhamiya - Jepara,['Tur (5)']
Kartini Taksi Jepara - Jepara,['Transportasi (5)']
Taksi Jepara Online - Jepara,['Transportasi (5)']
JM Limousine Service - Jepara Taxi and Airport Shuttle Service - Jepara,['Transportasi (5)']
Jepara Taxi Services - Jepara,['Transportasi (5)']
Kelenteng Hian Thian Siang Tee - Jepara,['Pemandangan & Tengara (4)']
Benteng Portugis - Jepara,['Pemandangan & Tengara (4)']
Sentra Industri Patung Jepara - Jepara,['Pemandangan & Tengara (4)']
Masjid Mantingan - Jepara,['Pemandangan & Tengara (4)']
Sasana Family Sport Centre - Jepara,['Hiburan & Permainan (2)']
Museum RA Kartini - Jepara,"['Museum (1)', 'Bagus Saat Hujan (1)']"
Jepara Ourland Park - Jepara,['Taman Air & Taman Hiburan (1)']
Mesjid Raya Baiturrahman - Banda Aceh,"['Pemandangan & Tengara (19)', 'Cocok untuk Anak-Anak (9)', 'Masuk Gratis (9)', 'Harga terjangkau (7)', 'Cocok untuk Kelompok Besar (5)', 'Bagus Saat Hujan (5)']"
PLTD Apung 1 - Banda Aceh,"['Pemandangan & Tengara (19)', 'Museum (4)', 'Masuk Gratis (9)', 'Harga terjangkau (7)', 'Cocok untuk Kelompok Besar (5)']"
Kapal Tsunami - Banda Aceh,"['Pemandangan & Tengara (19)', 'Cocok untuk Anak-Anak (9)', 'Masuk Gratis (9)', 'Harga terjangkau (7)', 'Cocok untuk Kelompok Besar (5)']"
Masjid Baiturrahim - Banda Aceh,['Pemandangan & Tengara (19)']
Kuburan Belanda Kerkhoff Peutjut - Banda Aceh,['Pemandangan & Tengara (19)']
Masjid Rahmatullah - Banda Aceh,['Pemandangan & Tengara (19)']
Taman Putroe Phang - Banda Aceh,"['Pemandangan & Tengara (19)', 'Wisata Alam & Taman (13)']"
Remains of Koetaradja - Banda Aceh,['Pemandangan & Tengara (19)']
Perumahan Jacky Chan - Banda Aceh,['Pemandangan & Tengara (19)']
Kuburan Massal Siron - Banda Aceh,['Pemandangan & Tengara (19)']
Makam Sultan Iskandar Muda - Banda Aceh,['Pemandangan & Tengara (19)']
Makam Syiah Kuala - Banda Aceh,['Pemandangan & Tengara (19)']
Masjid Baitul Musyahadah - Banda Aceh,['Pemandangan & Tengara (19)']
Masjid Agung Al Makmur - Banda Aceh,['Pemandangan & Tengara (19)']
Benteng Indrapatra - Banda Aceh,['Pemandangan & Tengara (19)']
Stadion Harapan Bangsa - Banda Aceh,['Pemandangan & Tengara (19)']
Bukit Soeharto - Banda Aceh,['Pemandangan & Tengara (19)']
Goa Putri Pukes - Banda Aceh,"['Pemandangan & Tengara (19)', 'Wisata Alam & Taman (13)']"
Taman Wisata Burung Dara - Banda Aceh,['Pemandangan & Tengara (19)']
Pantai Lampuuk - Banda Aceh,"['Wisata Alam & Taman (13)', 'Aktivitas Luar Ruangan (13)', 'Cocok untuk Anak-Anak (9)', 'Masuk Gratis (9)', 'Harga terjangkau (7)', 'Cocok untuk Kelompok Besar (5)', 'Lokasi bulan madu (1)']"
Pantai Ulee Lheue - Banda Aceh,"['Wisata Alam & Taman (13)', 'Aktivitas Luar Ruangan (13)', 'Cocok untuk Anak-Anak (9)', 'Masuk Gratis (9)', 'Harga terjangkau (7)', 'Cocok untuk Kelompok Besar (5)', 'Cocok untuk Pasangan (2)']"
Taman Sari Gunongan - Banda Aceh,"['Wisata Alam & Taman (13)', 'Cocok untuk Anak-Anak (9)', 'Masuk Gratis (9)']"
Pulau Tailana - Banda Aceh,['Wisata Alam & Taman (13)']
Lapangan Blang Padang - Banda Aceh,"['Wisata Alam & Taman (13)', 'Cocok untuk Anak-Anak (9)']"
Pantai pasir Putih Lhok Me - Banda Aceh,"['Wisata Alam & Taman (13)', 'Aktivitas Luar Ruangan (13)', 'Cocok untuk Anak-Anak (9)']"
Taman Sri Ratu Safiatuddin - Banda Aceh,['Wisata Alam & Taman (13)']
Pantai Alue Naga - Banda Aceh,"['Wisata Alam & Taman (13)', 'Aktivitas Luar Ruangan (13)']"
Lhok Mata Ie - Banda Aceh,"['Wisata Alam & Taman (13)', 'Aktivitas Luar Ruangan (13)']"
Pantai Ujung Pancu - Banda Aceh,"['Wisata Alam & Taman (13)', 'Aktivitas Luar Ruangan (13)']"
Bukit Lamreh - Banda Aceh,['Wisata Alam & Taman (13)']
Aceh Kitecamp - Banda Aceh,"['Aktivitas Luar Ruangan (13)', 'Tur (10)', 'Tur dengan Perahu & Olahraga Air (4)']"
Aceh Food Tours - Banda Aceh,"['Aktivitas Luar Ruangan (13)', 'Tur (10)', 'Tur dengan Perahu & Olahraga Air (4)', 'Makanan & Minuman (3)']"
Get Aceh - Banda Aceh,"['Aktivitas Luar Ruangan (13)', 'Tur (10)']"
Sabang Wisata Travel - Banda Aceh,"['Aktivitas Luar Ruangan (13)', 'Tur (10)', 'Tur dengan Perahu & Olahraga Air (4)']"
Rental Mobil di Aceh | CV. Sakinah - Banda Aceh,"['Aktivitas Luar Ruangan (13)', 'Tur (10)', 'Transportasi (5)']"
Barqun Tour Asia - Banda Aceh,"['Aktivitas Luar Ruangan (13)', 'Tur (10)', 'Transportasi (5)', 'Makanan & Minuman (3)']"
Discover Aceh Divers Club - Banda Aceh,"['Aktivitas Luar Ruangan (13)', 'Tur (10)', 'Tur dengan Perahu & Olahraga Air (4)']"
Aceh Explorer - Banda Aceh,['Tur (10)']
CV. Sakinah Rent Car | Rental Mobil Aceh - Banda Aceh,"['Tur (10)', 'Transportasi (5)']"
Adly Jay Lanie - Banda Aceh,"['Tur (10)', 'Transportasi (5)', 'Makanan & Minuman (3)']"
Suzuya Mall - Banda Aceh,['Tempat Belanja (6)']
Pante Pirak Supermarket - Banda Aceh,['Tempat Belanja (6)']
Pusaka Souvenir - Banda Aceh,['Tempat Belanja (6)']
Socolatte - Banda Aceh,['Tempat Belanja (6)']
Kotty Kosmetic - Banda Aceh,['Tempat Belanja (6)']
Zeans Batik Khas Aceh - Banda Aceh,['Tempat Belanja (6)']
Meutuah Rent Car Tour Guide - Banda Aceh,['Transportasi (5)']
Museum Tsunami - Banda Aceh,"['Museum (4)', 'Cocok untuk Anak-Anak (9)', 'Masuk Gratis (9)', 'Harga terjangkau (7)', 'Bagus Saat Hujan (5)']"
Museum Negeri Aceh - Banda Aceh,"['Museum (4)', 'Cocok untuk Anak-Anak (9)', 'Bagus Saat Hujan (5)']"
Museum Rumah Cut Nyak Dhien - Banda Aceh,"['Museum (4)', 'Masuk Gratis (9)', 'Bagus Saat Hujan (5)']"
Martha Tilaar Spa Express Banda Aceh - Banda Aceh,['Spa & Kebugaran (3)']
Ocean Spa - Banda Aceh,['Spa & Kebugaran (3)']
Vivi Spa - Banda Aceh,['Spa & Kebugaran (3)']
Kuta Malaka Water Boom - Banda Aceh,['Taman Air & Taman Hiburan (1)']
Toraja Local Guide - Rantepao,['Tur (13)']
Sulawesi Culture and Nature Tour - Rantepao,"['Tur (13)', 'Aktivitas Luar Ruangan (7)']"
Tana Toraja Tour Guide - Rantepao,"['Tur (13)', 'Aktivitas Luar Ruangan (7)']"
Toraja One Stop Adventure (TOSA) - Rantepao,"['Tur (13)', 'Aktivitas Luar Ruangan (7)', 'Tur dengan Perahu & Olahraga Air (1)']"
Ritha Balik - Rantepao,['Tur (13)']
Sinaji Toraja Tour - Rantepao,"['Tur (13)', 'Aktivitas Luar Ruangan (7)']"
Petro Tours - Rantepao,['Tur (13)']
Yacob Kakke Local Guide And Trekking - Rantepao,"['Tur (13)', 'Aktivitas Luar Ruangan (7)', 'Transportasi (2)']"
Guia en Tana Toraja - Rantepao,['Tur (13)']
Sulawesi Culture & Nature Round Trip - Rantepao,"['Tur (13)', 'Aktivitas Luar Ruangan (7)']"
Tana Toraja Tours - Rantepao,['Tur (13)']
TORAJA UNIQUE - Rantepao,"['Tur (13)', 'Aktivitas Luar Ruangan (7)', 'Transportasi (2)']"
Jalan Jalan Toraja - Rantepao,['Tur (13)']
Kete Kesu - Rantepao,"['Pemandangan & Tengara (8)', 'Harga terjangkau (8)', 'Cocok untuk Kelompok Besar (6)', 'Cocok untuk Anak-Anak (1)']"
Batutumongga - Rantepao,"['Pemandangan & Tengara (8)', 'Harga terjangkau (8)', 'Cocok untuk Kelompok Besar (6)', 'Masuk Gratis (3)', 'Lokasi bulan madu (2)']"
Makam Gua Londa - Rantepao,"['Pemandangan & Tengara (8)', 'Harga terjangkau (8)', 'Cocok untuk Kelompok Besar (6)', 'Berjiwa petualang (1)']"
Tanah Toraja - Rantepao,"['Pemandangan & Tengara (8)', 'Harga terjangkau (8)', 'Cocok untuk Pasangan (4)']"
Bori' Parinding - Rantepao,"['Pemandangan & Tengara (8)', 'Harga terjangkau (8)', 'Cocok untuk Kelompok Besar (6)']"
Marante - Rantepao,"['Pemandangan & Tengara (8)', 'Cocok untuk Kelompok Besar (6)', 'Masuk Gratis (3)']"
Tugu Salib Bukit Singki - Rantepao,['Pemandangan & Tengara (8)']
Buntu Singki - Rantepao,['Pemandangan & Tengara (8)']
Pasar Rantepao - Rantepao,['Tempat Belanja (3)']
Todi Traditional Weaving Shop - Rantepao,['Tempat Belanja (3)']
Todi Oleh-Oleh Khas Toraja - Rantepao,['Tempat Belanja (3)']
Denis Massage & Spa - Rantepao,['Spa & Kebugaran (2)']
Anang Spa Toraja - Rantepao,['Spa & Kebugaran (2)']
Wisata Alam Limbong - Rantepao,['Wisata Alam & Taman (1)']
BIG Mall - Samarinda,"['Tempat Belanja (9)', 'Cocok untuk Anak-Anak (6)', 'Masuk Gratis (5)', 'Bagus Saat Hujan (5)', 'Cocok untuk Kelompok Besar (2)', 'Cocok untuk Pasangan (1)']"
East Kalimantan Center Oleh-Oleh Khas Kaltim - Samarinda,['Tempat Belanja (9)']
Plaza Mulia - Samarinda,['Tempat Belanja (9)']
Samarinda Central Plaza - Samarinda,"['Tempat Belanja (9)', 'Bagus Saat Hujan (5)']"
UKM Center Samarinda - Samarinda,['Tempat Belanja (9)']
Samarinda Square - Samarinda,['Tempat Belanja (9)']
Mal Mesra Indah - Samarinda,['Tempat Belanja (9)']
Pasar Citra Niaga - Samarinda,['Tempat Belanja (9)']
Kampung Amplang - Samarinda,['Tempat Belanja (9)']
Masjid Islamic Center Samarinda - Samarinda,"['Pemandangan & Tengara (7)', 'Cocok untuk Anak-Anak (6)', 'Masuk Gratis (5)', 'Bagus Saat Hujan (5)', 'Harga terjangkau (3)', 'Cocok untuk Kelompok Besar (2)']"
Sungai Mahakam - Samarinda,"['Pemandangan & Tengara (7)', 'Cocok untuk Anak-Anak (6)', 'Masuk Gratis (5)', 'Harga terjangkau (3)']"
Kampung Tenun - Samarinda,['Pemandangan & Tengara (7)']
Rumah Ulin Arya - Samarinda,['Pemandangan & Tengara (7)']
Taman Lampion Mahakam - Samarinda,"['Pemandangan & Tengara (7)', 'Wisata Alam & Taman (6)', 'Cocok untuk Anak-Anak (6)']"
Maha Vihara Sejahtera Maitreya - Samarinda,['Pemandangan & Tengara (7)']
Vihara Muladharma - Samarinda,['Pemandangan & Tengara (7)']
Kapal Wisata Pesut Etam - Samarinda,"['Tur (6)', 'Aktivitas Luar Ruangan (5)', 'Tur dengan Perahu & Olahraga Air (2)']"
Kutai National Park outfitter: Degigant Tours - Samarinda,['Tur (6)']
Alesa Tours Borneo - Samarinda,"['Tur (6)', 'Aktivitas Luar Ruangan (5)']"
