Spot / Vendor,Type,reviewers,link
Bali Family Safe Tours - Kecamatan Kuta,"['Transportasi (263)', 'Hiburan malam (88)', 'Makanan & Minuman (59)']",15,https://www.tripadvisor.co.id/Attraction_Review-g297697-d18902500-Reviews-Bali_Family_Safe_Tours-Kuta_Kuta_District_Bali.html
Day Trip Bali - Kecamatan Kuta,['Transportasi (263)'],31,https://www.tripadvisor.co.id/Attraction_Review-g469404-d17820260-Reviews-Day_Trip_Bali-Seminyak_Kuta_District_Bali.html
Bali Incredible - Private Tours - Kecamatan Kuta,"['Transportasi (263)', 'Tempat Belanja (210)']",13,https://www.tripadvisor.co.id/Attraction_Review-g297697-d19791963-Reviews-Bali_Incredible_Private_Tours-Kuta_Kuta_District_Bali.html
Bali Friendly Tour - Kecamatan Kuta,['Transportasi (263)'],31,https://www.tripadvisor.co.id/Attraction_Review-g562690-d15699744-Reviews-Bali_Friendly_Tour-Tuban_Kuta_Kuta_District_Bali.html
Bali Cab Service - Kecamatan Kuta,['Transportasi (263)'],44,https://www.tripadvisor.co.id/Attraction_Review-g562690-d15632804-Reviews-Bali_Cab_Service-Tuban_Kuta_Kuta_District_Bali.html
Yunda Bali Trip - Kecamatan Kuta,['Transportasi (263)'],10,https://www.tripadvisor.co.id/Attraction_Review-g297697-d19629175-Reviews-Yunda_Bali_Trip-Kuta_Kuta_District_Bali.html
Karuna Kania Bali Tours - Kecamatan Kuta,['Transportasi (263)'],9,https://www.tripadvisor.co.id/Attraction_Review-g297697-d19923182-Reviews-Karuna_Kania_Bali_Tours-Kuta_Kuta_District_Bali.html
Bali Apik Tour Organizer - Kecamatan Kuta,"['Transportasi (263)', 'Makanan & Minuman (59)', 'Kursus & Sanggar (52)', 'Hiburan & Permainan (35)']",23,https://www.tripadvisor.co.id/Attraction_Review-g297697-d17546662-Reviews-Bali_Apik_Tour_Organizer-Kuta_Kuta_District_Bali.html
Best Bali Things To Do - Kecamatan Kuta,['Transportasi (263)'],23,https://www.tripadvisor.co.id/Attraction_Review-g608487-d17538247-Reviews-Best_Bali_Things_To_Do-Legian_Kuta_District_Bali.html
Perama Tour & Travel - Kecamatan Kuta,['Transportasi (263)'],409,https://www.tripadvisor.co.id/Attraction_Review-g297697-d7008401-Reviews-Perama_Tour_Travel-Kuta_Kuta_District_Bali.html
Penjahit Anika - Kecamatan Kuta,['Tempat Belanja (210)'],629,https://www.tripadvisor.co.id/Attraction_Review-g297697-d2647015-Reviews-Anika_Tailor-Kuta_Kuta_District_Bali.html
Kuta Leather And Tailor - Kecamatan Kuta,['Tempat Belanja (210)'],176,https://www.tripadvisor.co.id/Attraction_Review-g297697-d4708370-Reviews-Kuta_Leather_And_Tailor-Kuta_Kuta_District_Bali.html
Purpa Fine Art Gallery - Kecamatan Kuta,"['Tempat Belanja (210)', 'Museum (22)', 'Cocok untuk Pasangan (409)', 'Bagus Saat Hujan (378)', 'Masuk Gratis (112)', 'Tempat yang Belum Populer (29)']",123,https://www.tripadvisor.co.id/Attraction_Review-g469404-d8608126-Reviews-Purpa_Fine_Art_Gallery_Seminyak-Seminyak_Kuta_District_Bali.html
Nyaman Gallery - Kecamatan Kuta,"['Tempat Belanja (210)', 'Museum (22)', 'Bagus Saat Hujan (378)', 'Masuk Gratis (112)']",146,https://www.tripadvisor.co.id/Attraction_Review-g469404-d7797188-Reviews-Nyaman_Gallery-Seminyak_Kuta_District_Bali.html
Krakakoa Chocolate Factory & Store - Kecamatan Kuta,['Tempat Belanja (210)'],63,https://www.tripadvisor.co.id/Attraction_Review-g469404-d15020105-Reviews-Krakakoa_Chocolate_Factory_Store-Seminyak_Kuta_District_Bali.html
Penjahit dan Toko kulit NIKKI COLLECTIONS - Kecamatan Kuta,['Tempat Belanja (210)'],175,https://www.tripadvisor.co.id/Attraction_Review-g469404-d4945626-Reviews-NIKKI_COLLECTIONS_Tailor_Leather-Seminyak_Kuta_District_Bali.html
Garlic Lane - Kecamatan Kuta,"['Tempat Belanja (210)', 'Pemandangan & Tengara (20)', 'Bagus Saat Hujan (378)', 'Harga terjangkau (302)', 'Masuk Gratis (112)']",263,https://www.tripadvisor.co.id/Attraction_Review-g608487-d12929343-Reviews-Garlic_Lane-Legian_Kuta_District_Bali.html
Krisna Sunset Road - Kecamatan Kuta,['Tempat Belanja (210)'],409,https://www.tripadvisor.co.id/Attraction_Review-g297697-d4590863-Reviews-Krisna_Sunset_Road-Kuta_Kuta_District_Bali.html
Bali Dreams Tours - Kecamatan Kuta,['Tempat Belanja (210)'],66,https://www.tripadvisor.co.id/Attraction_Review-g297697-d8591683-Reviews-Bali_Dreams_Tours-Kuta_Kuta_District_Bali.html
Pusat Perbelanjaan Beachwalk - Kecamatan Kuta,"['Tempat Belanja (210)', 'Cocok untuk Pasangan (409)', 'Bagus Saat Hujan (378)', 'Cocok untuk Anak-Anak (241)', 'Cocok untuk Kelompok Besar (209)', 'Masuk Gratis (112)']",4782,https://www.tripadvisor.co.id/Attraction_Review-g297697-d3708778-Reviews-Beachwalk_Shopping_Center-Kuta_Kuta_District_Bali.html
Olgabali Tailor - Kecamatan Kuta,['Tempat Belanja (210)'],148,https://www.tripadvisor.co.id/Attraction_Review-g469404-d10166749-Reviews-Olgabali_Tailor-Seminyak_Kuta_District_Bali.html
Ketut Art Shop 14 - Kecamatan Kuta,['Tempat Belanja (210)'],96,https://www.tripadvisor.co.id/Attraction_Review-g608487-d4758487-Reviews-Ketut_Art_Shop_14-Legian_Kuta_District_Bali.html
Bali Beta Tour - Kecamatan Kuta,['Tempat Belanja (210)'],116,https://www.tripadvisor.co.id/Attraction_Review-g608487-d7674917-Reviews-Bali_Beta_Tour-Legian_Kuta_District_Bali.html
Toko Emporium - Kecamatan Kuta,['Tempat Belanja (210)'],112,https://www.tripadvisor.co.id/Attraction_Review-g469404-d5827846-Reviews-Toko_Emporium-Seminyak_Kuta_District_Bali.html
GP Bali Tour - Day Tours & Activities - Kecamatan Kuta,['Tempat Belanja (210)'],181,https://www.tripadvisor.co.id/Attraction_Review-g297697-d3847282-Reviews-GP_Bali_Tour_Day_Tours_Activities-Kuta_Kuta_District_Bali.html
Matahari Kuta Square - Kecamatan Kuta,"['Tempat Belanja (210)', 'Bagus Saat Hujan (378)', 'Harga terjangkau (302)']",243,https://www.tripadvisor.co.id/Attraction_Review-g297697-d8858062-Reviews-Matahari_Kuta_Square-Kuta_Kuta_District_Bali.html
Lemona Leather and Tailor - Kecamatan Kuta,['Tempat Belanja (210)'],107,https://www.tripadvisor.co.id/Attraction_Review-g469404-d7200399-Reviews-Lemona_Leather_and_Tailor-Seminyak_Kuta_District_Bali.html
Rama Krisna Oleh-Oleh - Kecamatan Kuta,['Tempat Belanja (210)'],199,https://www.tripadvisor.co.id/Attraction_Review-g297697-d8134417-Reviews-Rama_Krisna_Oleh_Oleh-Kuta_Kuta_District_Bali.html
Jalan Legian - Kecamatan Kuta,"['Tempat Belanja (210)', 'Pemandangan & Tengara (20)', 'Cocok untuk Pasangan (409)', 'Harga terjangkau (302)', 'Cocok untuk Kelompok Besar (209)', 'Masuk Gratis (112)']",2061,https://www.tripadvisor.co.id/Attraction_Review-g608487-d1635025-Reviews-Jalan_Legian-Legian_Kuta_District_Bali.html
Pusat Kerajinan Geneva - Kecamatan Kuta,['Tempat Belanja (210)'],147,https://www.tripadvisor.co.id/Attraction_Review-g297697-d2258797-Reviews-Geneva_Handicraft_Center-Kuta_Kuta_District_Bali.html
Lippo Mall Kuta - Kecamatan Kuta,['Tempat Belanja (210)'],496,https://www.tripadvisor.co.id/Attraction_Review-g297697-d7725516-Reviews-Lippo_Mall_Kuta-Kuta_Kuta_District_Bali.html
Kim Soo - Kecamatan Kuta,['Tempat Belanja (210)'],135,https://www.tripadvisor.co.id/Attraction_Review-g469404-d10044959-Reviews-Kim_Soo-Seminyak_Kuta_District_Bali.html
Mal Bali Galeria - Kecamatan Kuta,"['Tempat Belanja (210)', 'Bagus Saat Hujan (378)', 'Cocok untuk Anak-Anak (241)', 'Masuk Gratis (112)']",454,https://www.tripadvisor.co.id/Attraction_Review-g297697-d2027967-Reviews-Mal_Bali_Galeria-Kuta_Kuta_District_Bali.html
Discovery Shopping Mall - Kecamatan Kuta,"['Tempat Belanja (210)', 'Cocok untuk Pasangan (409)', 'Bagus Saat Hujan (378)', 'Cocok untuk Anak-Anak (241)', 'Masuk Gratis (112)']",3237,https://www.tripadvisor.co.id/Attraction_Review-g297697-d1602617-Reviews-Discovery_Shopping_Mall-Kuta_Kuta_District_Bali.html
LXXY Bali - Kecamatan Kuta,['Hiburan malam (88)'],539,https://www.tripadvisor.co.id/Attraction_Review-g297697-d14068408-Reviews-LXXY_Bali-Kuta_Kuta_District_Bali.html
Mekar Tour And Driver - Kecamatan Kuta,['Hiburan malam (88)'],79,https://www.tripadvisor.co.id/Attraction_Review-g297697-d12260131-Reviews-Mekar_Tour_And_Driver-Kuta_Kuta_District_Bali.html
Bali Joe Bar - Kecamatan Kuta,['Hiburan malam (88)'],251,https://www.tripadvisor.co.id/Attraction_Review-g469404-d2628397-Reviews-Bali_Joe_Bar-Seminyak_Kuta_District_Bali.html
Sky Garden - Kecamatan Kuta,"['Hiburan malam (88)', 'Makanan & Minuman (59)']",570,https://www.tripadvisor.co.id/Attraction_Review-g297697-d4548193-Reviews-Sky_Garden-Kuta_Kuta_District_Bali.html
The Late Bali - Kecamatan Kuta,"['Hiburan malam (88)', 'Makanan & Minuman (59)']",35,https://www.tripadvisor.co.id/Attraction_Review-g469404-d12955349-Reviews-The_Late_Bali-Seminyak_Kuta_District_Bali.html
Barrio & Co - Kecamatan Kuta,['Hiburan malam (88)'],77,https://www.tripadvisor.co.id/Attraction_Review-g469404-d13322077-Reviews-Barrio_Co-Seminyak_Kuta_District_Bali.html
Espresso Bar - Kecamatan Kuta,['Hiburan malam (88)'],74,https://www.tripadvisor.co.id/Attraction_Review-g297697-d3546037-Reviews-Espresso_Bar-Kuta_Kuta_District_Bali.html
Mixwell Bar - Kecamatan Kuta,['Hiburan malam (88)'],237,https://www.tripadvisor.co.id/Attraction_Review-g469404-d2078717-Reviews-Mixwell_Bar-Seminyak_Kuta_District_Bali.html
Bar Ella n Dut - Kecamatan Kuta,['Hiburan malam (88)'],32,https://www.tripadvisor.co.id/Attraction_Review-g608487-d3461093-Reviews-Ella_n_Dut_Bar-Legian_Kuta_District_Bali.html
Teds Bar - Kecamatan Kuta,['Hiburan malam (88)'],44,https://www.tripadvisor.co.id/Attraction_Review-g608487-d8365417-Reviews-Teds_Bar-Legian_Kuta_District_Bali.html
"Bar ""My Bar"" - Kecamatan Kuta",['Hiburan malam (88)'],31,https://www.tripadvisor.co.id/Attraction_Review-g608487-d3570042-Reviews-My_Bar-Legian_Kuta_District_Bali.html
Bali paradiso - Kecamatan Kuta,"['Hiburan malam (88)', 'Makanan & Minuman (59)']",5,https://www.tripadvisor.co.id/Attraction_Review-g469404-d19140987-Reviews-Bali_paradiso-Seminyak_Kuta_District_Bali.html
Pande N Lily Bar - Kecamatan Kuta,['Hiburan malam (88)'],20,https://www.tripadvisor.co.id/Attraction_Review-g297697-d11661678-Reviews-Pande_N_Lily_Bar-Kuta_Kuta_District_Bali.html
Empire Bali - Kecamatan Kuta,['Hiburan malam (88)'],17,https://www.tripadvisor.co.id/Attraction_Review-g297697-d20217180-Reviews-Empire_Bali-Kuta_Kuta_District_Bali.html
Blow Bar Bali - Kecamatan Kuta,['Hiburan malam (88)'],117,https://www.tripadvisor.co.id/Attraction_Review-g469404-d12610633-Reviews-Blow_Bar_Bali-Seminyak_Kuta_District_Bali.html
Sling Bar - Kecamatan Kuta,['Hiburan malam (88)'],26,https://www.tripadvisor.co.id/Attraction_Review-g469404-d7379291-Reviews-Sling_Bar-Seminyak_Kuta_District_Bali.html
Adventure Bus & Booz - Kecamatan Kuta,"['Hiburan malam (88)', 'Makanan & Minuman (59)']",2,https://www.tripadvisor.co.id/Attraction_Review-g297697-d20017114-Reviews-Adventure_Bus_Booz-Kuta_Kuta_District_Bali.html
El Laguito Cigar Divan & Bar - Kecamatan Kuta,['Hiburan malam (88)'],2,https://www.tripadvisor.co.id/Attraction_Review-g469404-d19929685-Reviews-El_Laguito_Cigar_Divan_Bar-Seminyak_Kuta_District_Bali.html
MyBLI | Bali Concierge - Kecamatan Kuta,"['Hiburan malam (88)', 'Makanan & Minuman (59)', 'Kursus & Sanggar (52)', 'Hiburan & Permainan (35)']",2,https://www.tripadvisor.co.id/Attraction_Review-g469404-d19882425-Reviews-MyBLI_Bali_Concierge-Seminyak_Kuta_District_Bali.html
BikeBoss BaliBikeTours - Kecamatan Kuta,['Hiburan malam (88)'],1,https://www.tripadvisor.co.id/Attraction_Review-g469404-d20001574-Reviews-BikeBoss_BaliBikeTours-Seminyak_Kuta_District_Bali.html
Embassy Club - Kecamatan Kuta,['Hiburan malam (88)'],1,https://www.tripadvisor.co.id/Attraction_Review-g297697-d19428680-Reviews-Embassy_Club-Kuta_Kuta_District_Bali.html
Karmen & Marius - Kecamatan Kuta,['Hiburan malam (88)'],42,https://www.tripadvisor.co.id/Attraction_Review-g469404-d6729718-Reviews-Karmen_Marius-Seminyak_Kuta_District_Bali.html
Engine Room - Super Club - Kecamatan Kuta,['Hiburan malam (88)'],93,https://www.tripadvisor.co.id/Attraction_Review-g297697-d6364211-Reviews-Engine_Room_Super_Club-Kuta_Kuta_District_Bali.html
Ole Beach Bar - Kecamatan Kuta,['Hiburan malam (88)'],21,https://www.tripadvisor.co.id/Attraction_Review-g608487-d7370119-Reviews-Ole_Beach_Bar-Legian_Kuta_District_Bali.html
Family Karaoke Zero-4 - Kecamatan Kuta,['Hiburan malam (88)'],12,https://www.tripadvisor.co.id/Attraction_Review-g608487-d15632734-Reviews-Family_Karaoke_Zero_4-Legian_Kuta_District_Bali.html
Jenja - Kecamatan Kuta,['Hiburan malam (88)'],128,https://www.tripadvisor.co.id/Attraction_Review-g469404-d9459284-Reviews-Jenja-Seminyak_Kuta_District_Bali.html
Uncles Beach Bar - Kecamatan Kuta,['Hiburan malam (88)'],10,https://www.tripadvisor.co.id/Attraction_Review-g608487-d15297221-Reviews-Uncles_Beach_Bar-Legian_Kuta_District_Bali.html
Bali Party Pub Crawl - Kecamatan Kuta,['Hiburan malam (88)'],10,https://www.tripadvisor.co.id/Attraction_Review-g469404-d12538637-Reviews-Bali_Party_Pub_Crawl-Seminyak_Kuta_District_Bali.html
Bar Yolo - Kecamatan Kuta,['Hiburan malam (88)'],17,https://www.tripadvisor.co.id/Attraction_Review-g297697-d5498262-Reviews-Yolo_Bar-Kuta_Kuta_District_Bali.html
Breezy Tours - Kecamatan Kuta,['Makanan & Minuman (59)'],162,https://www.tripadvisor.co.id/Attraction_Review-g297697-d10748757-Reviews-Breezy_Tours-Kuta_Kuta_District_Bali.html
Chef Bagus Balinese Cooking Class - Kecamatan Kuta,"['Makanan & Minuman (59)', 'Kursus & Sanggar (52)']",155,https://www.tripadvisor.co.id/Attraction_Review-g297697-d13742825-Reviews-Chef_Bagus_Balinese_Cooking_Class-Kuta_Kuta_District_Bali.html
Balinese Cooking Class at The Amala - Kecamatan Kuta,"['Makanan & Minuman (59)', 'Kursus & Sanggar (52)']",173,https://www.tripadvisor.co.id/Attraction_Review-g469404-d7224176-Reviews-Balinese_Cooking_Class_at_The_Amala-Seminyak_Kuta_District_Bali.html
Kelas Masak Chef Dean - Kecamatan Kuta,"['Makanan & Minuman (59)', 'Kursus & Sanggar (52)']",370,https://www.tripadvisor.co.id/Attraction_Review-g469404-d2186624-Reviews-Chef_Dean_Cooking_Class-Seminyak_Kuta_District_Bali.html
Anika Balinese - Kursus masak - Kecamatan Kuta,"['Makanan & Minuman (59)', 'Kursus & Sanggar (52)']",607,https://www.tripadvisor.co.id/Attraction_Review-g562690-d2711305-Reviews-Anika_Balinese_Cooking_Class-Tuban_Kuta_Kuta_District_Bali.html
Nia Cooking Class - Kecamatan Kuta,"['Makanan & Minuman (59)', 'Kursus & Sanggar (52)']",352,https://www.tripadvisor.co.id/Attraction_Review-g469404-d9997090-Reviews-Nia_Cooking_Class-Seminyak_Kuta_District_Bali.html
Bali Food Safari Seminyak Tour - Kecamatan Kuta,['Makanan & Minuman (59)'],320,https://www.tripadvisor.co.id/Attraction_Review-g469404-d5501796-Reviews-Bali_Food_Safari_Seminyak_Tour-Seminyak_Kuta_District_Bali.html
Good Indonesian Food Tour - Kecamatan Kuta,['Makanan & Minuman (59)'],82,https://www.tripadvisor.co.id/Attraction_Review-g297697-d10415088-Reviews-Good_Indonesian_Food_Tour-Kuta_Kuta_District_Bali.html
Villa Coco Cooking Classes - Kecamatan Kuta,"['Makanan & Minuman (59)', 'Kursus & Sanggar (52)']",62,https://www.tripadvisor.co.id/Attraction_Review-g469404-d12149821-Reviews-Villa_Coco_Cooking_Classes-Seminyak_Kuta_District_Bali.html
Maria's Cooking Class - Kecamatan Kuta,"['Makanan & Minuman (59)', 'Kursus & Sanggar (52)']",107,https://www.tripadvisor.co.id/Attraction_Review-g297697-d3267368-Reviews-Maria_s_Cooking_Class-Kuta_Kuta_District_Bali.html
Kin Vegan Cooking Class - Kecamatan Kuta,"['Makanan & Minuman (59)', 'Kursus & Sanggar (52)']",25,https://www.tripadvisor.co.id/Attraction_Review-g469404-d14960852-Reviews-Kin_Vegan_Cooking_Class-Seminyak_Kuta_District_Bali.html
Wira Bali Tour & Transport Services - Kecamatan Kuta,['Makanan & Minuman (59)'],42,https://www.tripadvisor.co.id/Attraction_Review-g469404-d13496807-Reviews-Wira_Bali_Tour_Transport_Services-Seminyak_Kuta_District_Bali.html
Trip Bali Holidays - Kecamatan Kuta,['Makanan & Minuman (59)'],21,https://www.tripadvisor.co.id/Attraction_Review-g469404-d17639552-Reviews-Trip_Bali_Holidays-Seminyak_Kuta_District_Bali.html
Bali Funtastic Tour - Kecamatan Kuta,['Makanan & Minuman (59)'],7,https://www.tripadvisor.co.id/Attraction_Review-g297697-d19071360-Reviews-Bali_Funtastic_Tour-Kuta_Kuta_District_Bali.html
Egon Bali Tours - Kecamatan Kuta,['Makanan & Minuman (59)'],51,https://www.tripadvisor.co.id/Attraction_Review-g469404-d8467666-Reviews-Egon_Bali_Tours-Seminyak_Kuta_District_Bali.html
Maxx Coffee Lippo Mall Kuta Bali - Kecamatan Kuta,['Makanan & Minuman (59)'],46,https://www.tripadvisor.co.id/Attraction_Review-g297697-d8610633-Reviews-Maxx_Coffee_Lippo_Mall_Kuta_Bali-Kuta_Kuta_District_Bali.html
nia seminyak balinese cooking class - Kecamatan Kuta,"['Makanan & Minuman (59)', 'Kursus & Sanggar (52)']",2,https://www.tripadvisor.co.id/Attraction_Review-g469404-d20007419-Reviews-Nia_seminyak_balinese_cooking_class-Seminyak_Kuta_District_Bali.html
Alvin Bali Tour - Kecamatan Kuta,['Makanan & Minuman (59)'],6,https://www.tripadvisor.co.id/Attraction_Review-g297697-d17647317-Reviews-Alvin_Bali_Tour-Kuta_Kuta_District_Bali.html
Cook Like A Local - Kecamatan Kuta,"['Makanan & Minuman (59)', 'Kursus & Sanggar (52)']",6,https://www.tripadvisor.co.id/Attraction_Review-g297697-d11785651-Reviews-Cook_Like_A_Local-Kuta_Kuta_District_Bali.html
French Cooking Class at Pearl - Kecamatan Kuta,"['Makanan & Minuman (59)', 'Kursus & Sanggar (52)']",6,https://www.tripadvisor.co.id/Attraction_Review-g608487-d8790679-Reviews-French_Cooking_Class_at_Pearl-Legian_Kuta_District_Bali.html
Indonesian Cooking Class @ Puri Raja - Kecamatan Kuta,"['Makanan & Minuman (59)', 'Kursus & Sanggar (52)']",4,https://www.tripadvisor.co.id/Attraction_Review-g608487-d4354713-Reviews-Indonesian_Cooking_Class_Puri_Raja-Legian_Kuta_District_Bali.html
Balis Best Cooking Class - Kecamatan Kuta,['Makanan & Minuman (59)'],2,https://www.tripadvisor.co.id/Attraction_Review-g297697-d15615007-Reviews-Balis_Best_Cooking_Class-Kuta_Kuta_District_Bali.html
Bali Mula Trip adventure - Kecamatan Kuta,['Makanan & Minuman (59)'],1,https://www.tripadvisor.co.id/Attraction_Review-g297697-d18344396-Reviews-Bali_Mula_Trip_adventure-Kuta_Kuta_District_Bali.html
High Flyers Bali Trapeze School - Kecamatan Kuta,['Kursus & Sanggar (52)'],74,https://www.tripadvisor.co.id/Attraction_Review-g562690-d3570063-Reviews-High_Flyers_Bali_Trapeze_School-Tuban_Kuta_Kuta_District_Bali.html
Kompact Fitness Bali - Kecamatan Kuta,['Kursus & Sanggar (52)'],10,https://www.tripadvisor.co.id/Attraction_Review-g469404-d19880397-Reviews-Kompact_Fitness_Bali-Seminyak_Kuta_District_Bali.html
NAS Surf Bali - Kecamatan Kuta,['Kursus & Sanggar (52)'],16,https://www.tripadvisor.co.id/Attraction_Review-g469404-d14051115-Reviews-NAS_Surf_Bali-Seminyak_Kuta_District_Bali.html
Fit By Design Bali - Kecamatan Kuta,['Kursus & Sanggar (52)'],2,https://www.tripadvisor.co.id/Attraction_Review-g469404-d19694226-Reviews-Fit_By_Design_Bali-Seminyak_Kuta_District_Bali.html
Nyaman Artspace - Kecamatan Kuta,['Kursus & Sanggar (52)'],2,https://www.tripadvisor.co.id/Attraction_Review-g469404-d20139692-Reviews-Nyaman_Artspace-Seminyak_Kuta_District_Bali.html
bali excellent service tours - Kecamatan Kuta,"['Kursus & Sanggar (52)', 'Hiburan & Permainan (35)']",1,https://www.tripadvisor.co.id/Attraction_Review-g297697-d19086786-Reviews-Bali_excellent_service_tours-Kuta_Kuta_District_Bali.html
GoodSurf School - Legian Kuta - Kecamatan Kuta,['Kursus & Sanggar (52)'],1,https://www.tripadvisor.co.id/Attraction_Review-g297697-d18965694-Reviews-GoodSurf_School_Legian_Kuta-Kuta_Kuta_District_Bali.html
F45 Seminyak - Kecamatan Kuta,['Kursus & Sanggar (52)'],13,https://www.tripadvisor.co.id/Attraction_Review-g469404-d13188129-Reviews-F45_Seminyak-Seminyak_Kuta_District_Bali.html
Surf School Bali - Kecamatan Kuta,['Kursus & Sanggar (52)'],11,https://www.tripadvisor.co.id/Attraction_Review-g469404-d17778418-Reviews-Surf_School_Bali-Seminyak_Kuta_District_Bali.html
Bali Barista Centre - Kecamatan Kuta,['Kursus & Sanggar (52)'],12,https://www.tripadvisor.co.id/Attraction_Review-g608487-d11658648-Reviews-Bali_Barista_Centre-Legian_Kuta_District_Bali.html
renaldio sharial - Kecamatan Kuta,['Kursus & Sanggar (52)'],4,https://www.tripadvisor.co.id/Attraction_Review-g297697-d17736346-Reviews-Renaldio_sharial-Kuta_Kuta_District_Bali.html
The Spa at Padma Resort Legian - Kecamatan Kuta,"['Kursus & Sanggar (52)', 'Hiburan & Permainan (35)']",4,https://www.tripadvisor.co.id/Attraction_Review-g608487-d17558358-Reviews-The_Spa_at_Padma_Resort_Legian-Legian_Kuta_District_Bali.html
Mudara Spa - Kecamatan Kuta,"['Kursus & Sanggar (52)', 'Hiburan & Permainan (35)']",3,https://www.tripadvisor.co.id/Attraction_Review-g469404-d17527681-Reviews-Mudara_Spa-Seminyak_Kuta_District_Bali.html
Capoeira Bali - Kecamatan Kuta,['Kursus & Sanggar (52)'],5,https://www.tripadvisor.co.id/Attraction_Review-g469404-d9861968-Reviews-Capoeira_Bali-Seminyak_Kuta_District_Bali.html
ANJALI SPA by Astagina Resort Villa and Spa - Kecamatan Kuta,"['Kursus & Sanggar (52)', 'Hiburan & Permainan (35)']",3,https://www.tripadvisor.co.id/Attraction_Review-g608487-d17810800-Reviews-ANJALI_SPA_by_Astagina_Resort_Villa_and_Spa-Legian_Kuta_District_Bali.html
Tribal Love & Soul - Kecamatan Kuta,['Kursus & Sanggar (52)'],4,https://www.tripadvisor.co.id/Attraction_Review-g469404-d6848920-Reviews-Tribal_Love_Soul-Seminyak_Kuta_District_Bali.html
Pandora Experience Escape Room Bali - Kecamatan Kuta,['Hiburan & Permainan (35)'],254,https://www.tripadvisor.co.id/Attraction_Review-g297697-d11827919-Reviews-Pandora_Experience_Escape_Room_Bali-Kuta_Kuta_District_Bali.html
Totem Room Escape - Kecamatan Kuta,['Hiburan & Permainan (35)'],432,https://www.tripadvisor.co.id/Attraction_Review-g469404-d8481861-Reviews-Totem_Room_Escape-Seminyak_Kuta_District_Bali.html
Beachwalk XXI Cineplex Bali - Kecamatan Kuta,['Hiburan & Permainan (35)'],309,https://www.tripadvisor.co.id/Attraction_Review-g297697-d4457744-Reviews-Beachwalk_XXI_Cineplex_Bali-Kuta_Kuta_District_Bali.html
SuperHuman Fitness Bali - Kecamatan Kuta,['Hiburan & Permainan (35)'],33,https://www.tripadvisor.co.id/Attraction_Review-g469404-d8743589-Reviews-SuperHuman_Fitness_Bali-Seminyak_Kuta_District_Bali.html
Tilo Kids Club - Kecamatan Kuta,['Hiburan & Permainan (35)'],16,https://www.tripadvisor.co.id/Attraction_Review-g469404-d15001891-Reviews-Tilo_Kids_Club-Seminyak_Kuta_District_Bali.html
Escape Room - Kecamatan Kuta,['Hiburan & Permainan (35)'],53,https://www.tripadvisor.co.id/Attraction_Review-g469404-d10750846-Reviews-Escape_Room-Seminyak_Kuta_District_Bali.html
Kovee VR Kuta Bali - Kecamatan Kuta,['Hiburan & Permainan (35)'],3,https://www.tripadvisor.co.id/Attraction_Review-g297697-d19718238-Reviews-Kovee_VR_Kuta_Bali-Kuta_Kuta_District_Bali.html
The Anak Atelier - Kecamatan Kuta,"['Hiburan & Permainan (35)', 'Wisata Alam & Taman (17)', 'Cocok untuk Kelompok Besar (209)']",12,https://www.tripadvisor.co.id/Attraction_Review-g297697-d10358598-Reviews-The_Anak_Atelier-Kuta_Kuta_District_Bali.html
Fly Station Bali - Kecamatan Kuta,['Hiburan & Permainan (35)'],12,https://www.tripadvisor.co.id/Attraction_Review-g608487-d17547104-Reviews-Fly_Station_Bali-Legian_Kuta_District_Bali.html
Amazone - Kecamatan Kuta,['Hiburan & Permainan (35)'],20,https://www.tripadvisor.co.id/Attraction_Review-g297697-d8399394-Reviews-Amazone-Kuta_Kuta_District_Bali.html
Hide N Seek - Kecamatan Kuta,['Hiburan & Permainan (35)'],14,https://www.tripadvisor.co.id/Attraction_Review-g297697-d10475759-Reviews-Hide_N_Seek-Kuta_Kuta_District_Bali.html
Miniapolis - Kecamatan Kuta,['Hiburan & Permainan (35)'],30,https://www.tripadvisor.co.id/Attraction_Review-g297697-d3749781-Reviews-Miniapolis-Kuta_Kuta_District_Bali.html
Lollipop's Playland and Cafe - Kecamatan Kuta,['Hiburan & Permainan (35)'],86,https://www.tripadvisor.co.id/Attraction_Review-g469404-d2639794-Reviews-Lollipop_s_Playland_and_Cafe-Seminyak_Kuta_District_Bali.html
5D-Max - Kecamatan Kuta,['Hiburan & Permainan (35)'],3,https://www.tripadvisor.co.id/Attraction_Review-g297697-d13127916-Reviews-5D_Max-Kuta_Kuta_District_Bali.html
Paintball Bali Pertiwi - Kecamatan Kuta,['Hiburan & Permainan (35)'],7,https://www.tripadvisor.co.id/Attraction_Review-g297697-d3831807-Reviews-Paintball_Bali_Pertiwi-Kuta_Kuta_District_Bali.html
5D Cinema - Kecamatan Kuta,['Hiburan & Permainan (35)'],5,https://www.tripadvisor.co.id/Attraction_Review-g297697-d10223124-Reviews-5D_Max_Bali-Kuta_Kuta_District_Bali.html
Tabu - Kecamatan Kuta,['Hiburan & Permainan (35)'],2,https://www.tripadvisor.co.id/Attraction_Review-g297697-d6542534-Reviews-Tabu-Kuta_Kuta_District_Bali.html
